id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 287768,Кофе Carte Noire Original в зернах 800 г,2 199,,RIOBA,https://online.metro-cc.ru/products/carte-noire-v-zernah-naturalnyj-zharenyj-800g
 219222,"Кофе Nescafe Gold Barista растворимый сублимированный с добавлением натурального молотого кофе, 400г",999,1 699,COFERIUM,https://online.metro-cc.ru/products/art_619918
 635596,"Кофе Jacobs Monarch растворимый (1.8г х 26шт), 47г",499,,JARDIN,https://online.metro-cc.ru/products/jacobs-monarch-26x18g
 220013,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г",1 379,2 279,JULIUS MEINL,https://online.metro-cc.ru/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g
 77948,"Кофе Julius Meinl Espresso Gran Aroma в зернах, 1кг",1 949,,JULIUS MEINL,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-gran-aroma-zerno
 104561,"Кофе Coferium Strong в зернах, 1кг",1 199,,FRESCO,https://online.metro-cc.ru/products/1kg-kofe-coferium-strong-v-zernah
 433965,"Кофе Coferium Gold selection в зернах, 1кг",1 599,,NESCAFE,https://online.metro-cc.ru/products/1kg-kofe-coferium-gold-selection-v-zernah
 226399,"Кофе Coferium White roast в зернах, 1кг",1 599,,МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ,https://online.metro-cc.ru/products/1kg-kofe-coferium-white-roast-v-zernah
 469362,"Кофе Julius Meinl Cafe Crema Gourmet в зернах, 1кг",1 949,,JARDIN,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno
 530966,"Кофе Julius Meinl Espresso Deluxe в зернах, 1кг",2 499,,RIOBA,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-deluxe-zerno
 220012,"Кофе Bushido Original растворимый, 100г",659,679,JULIUS MEINL,https://online.metro-cc.ru/products/bushido-sublimirovannyj-original-100g
 219223,"Кофе Ambassador Nero Espresso Roast в зернах, 1кг",739,789,COFERIUM,https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg
 580564,"Кофе Bushido Red Katana в зернах, 1кг",1 699,2 139,EGOISTE,https://online.metro-cc.ru/products/bushido-red-1000g
 224737,"Кофе Fresco Blend в зернах, 1кг",1 090,1 269,MONARCH,https://online.metro-cc.ru/products/fresco-blend-1000g
 36574,"RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг",1 679,,BUSHIDO,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg
 125676,"Кофе Monarch Original растворимый, 500г",1 049,1 549,LEBO CLASSIC,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-500g
 230303,"Кофе Egoiste трюфель крема в зернах, 1кг",1 549,1 639,MONARCH,https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-tryufel-krema-1kg
 508640,"Кофе Ambassador Platinum в зернах, 1кг",1 119,1 489,EGOISTE,https://online.metro-cc.ru/products/ambassador-naturalnyj-zharenyj-platinum-1kg
 110546,"Кофе Fresco Arabica Solo в зернах, 1кг",1 090,1 269,BUSHIDO,https://online.metro-cc.ru/products/fresco-arabica-solo-v-zernah-1000-g
 654819,"Кофе Nescafe Classic Crema растворимый, 95г",179,214,JULIUS MEINL,https://online.metro-cc.ru/products/nescafe-classic-crema-95-g
 99542,"Кофе Egoiste Arabica Premium натуральный жареный в зернах, 1кг",2 029,,NESCAFE,https://online.metro-cc.ru/products/egoiste-v-zernah-naturalnyj-zharenyj-arabica-premium-1kg
 44438,"Кофе Julius Meinl Сaffe Crema Premium Collection в зернах, 1кг",1 999,,ORIGO,https://online.metro-cc.ru/products/julius-meinl-krema-premium-1kg
 456926,"RIOBA Кофе в зернах натуральный жареный Silver, 1кг",1 329,,DALLMAYR,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-silver-1kg
 469363,"Кофе Alta Roma Espresso в зернах, 1кг",999,1 079,JARDIN,https://online.metro-cc.ru/products/kofe-alta-roma-espresso-v-zernakh-1kg
 32459,"Кофе Lavazza Crema e Aroma натуральный жареный в зернах, 1кг",2 519,,LAVAZZA,https://online.metro-cc.ru/products/lavazza-v-zernah-naturalnyj-zharenyj-crema-e-aroma-1kg
 619918,"Кофе Lavazza Qualita Oro натуральный жареный в зернах, 1кг",2 539,,NESCAFE,https://online.metro-cc.ru/products/v-zernah-lavazza-naturalnyj-zharenyj-qualita-oro-1kg
 75654,"Кофе Nescafe Classic растворимый порошкообразный с добавлением натурального жареного молотого кофе, 900г",999,1 859,CARTE NOIRE,https://online.metro-cc.ru/products/900g-nescafe-classic
 407889,"Кофе Julius Meinl Espresso Premium Collection в зернах, 1кг",2 179,,BUSHIDO,https://online.metro-cc.ru/products/v-zernah-julius-meinl-espresso-premium-kollekciya-1000g
 665877,"Кофе Lavazza Qualita Oro молотый, 250г",619,,AMBASSADOR,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-oro-250g
 228778,"Кофе Ambassador Gold Label в зернах, 1кг",1 290,1 649,FRESCO,https://online.metro-cc.ru/products/ambassador-gold-label-v-zernah-1000g
 119137,"Кофе Jardin Bravo Бразилия в зернах, 1кг",1 339,2 349,JARDIN,https://online.metro-cc.ru/products/jardin-bravo-braziliya-1kg
 546341,"Кофе Fresco Horeca arabica в зернах, 1кг",1 099,1 749,AMBASSADOR,https://online.metro-cc.ru/products/1kg-kofe-fresco-horeca-arabica-zerno
 287770,"Кофе Nescafe Gold Aroma Intenso растворимый, 85г",239,249,RIOBA,https://online.metro-cc.ru/products/kofe-nescafe-gold-aroma-intens-rastvorimyj-poroshkoobraznyj-85-g
 208702,"Кофе Bushido Black Katana в зернах, 1кг",1 899,2 699,LAVAZZA,https://online.metro-cc.ru/products/kofe-zernovoj-bushido-black-katana-1000g
 365548,"RIOBA Кофе в зернах натуральный жареный 80:20, 1кг",1 529,,ALTA ROMA,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg
 123742,"Кофе Lavazza Crema e Gusto Classico молотый, 250г",439,,NESCAFE,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-crema-e-gusto-250g
 226397,"RIOBA Кофе в капсулах Cremoso для кофемашин Nespresso 11шт, 55г",299,,МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-cremoso-11x5g
 59409,"Кофе Nescafe Gold растворимый, 190г",429,449,FRESCO,https://online.metro-cc.ru/products/nescafe-gold-190g
 642122,"Кофе Alta Roma Intenso в зернах, 1кг",1 249,1 399,NESCAFE,https://online.metro-cc.ru/products/kofe-alta-roma-intenso-v-zernakh-1kg
 62828,"Кофе Egoiste Double Espresso, 100г",399,669,JULIUS MEINL,https://online.metro-cc.ru/products/egoiste-double-espresso-100g
 228292,"RIOBA Кофе в капсулах Delicato для кофемашин Nespresso 11шт, 55г",299,,EGOISTE,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-delicato-10x5g
