id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 219222,"Кофе Alta Roma Intenso в зернах, 1кг",1 199,1 399,COFERIUM,https://online.metro-cc.ru/products/kofe-alta-roma-intenso-v-zernakh-1kg
 226465,"Кофе в капсулах L’or Espresso Lungo Profondo для кофемашин Nespresso 10шт, 52г",369,409,ALTA ROMA,https://online.metro-cc.ru/products/l-rsquoor-lungo-profondo-52-g
 79862,"Кофе Alta Roma Vero в зернах, 1кг",1 099,1 439,TASSIMO,https://online.metro-cc.ru/products/kofe-alta-roma-vero-v-zernakh-1kg
 59409,"Кофе Julius Meinl Espresso Gran Aroma в зернах, 1кг",,1 919,FRESCO,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-gran-aroma-zerno
 599512,"Кофе Julius Meinl Cafe Crema Gourmet в зернах, 1кг",,1 919,AMBASSADOR,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno
 59569,"Кофе Julius Meinl Espresso Deluxe в зернах, 1кг",,2 459,ILLY,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-deluxe-zerno
 469363,"Кофе Coferium Gold selection в зернах, 1кг",,1 569,JARDIN,https://online.metro-cc.ru/products/1kg-kofe-coferium-gold-selection-v-zernah
 642122,"Кофе Coferium Strong в зернах, 1кг",,1 179,NESCAFE,https://online.metro-cc.ru/products/1kg-kofe-coferium-strong-v-zernah
 665877,"Кофе Coferium White roast в зернах, 1кг",,1 569,AMBASSADOR,https://online.metro-cc.ru/products/1kg-kofe-coferium-white-roast-v-zernah
 528357,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 900г",1 699,2 149,EGOISTE,https://online.metro-cc.ru/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g
 59003,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г",1 379,2 279,BUSHIDO,https://online.metro-cc.ru/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g
 611606,"RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг",,1 689,ILLY,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg
 112990,"Кофе Bushido Red Katana растворимый сублимированный, 100г",849,1 029,CARRARO,https://online.metro-cc.ru/products/art_508637
 112993,"Кофе Ambassador Nero Espresso Roast в зернах, 1кг",779,809,EGOISTE,https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg
 407889,"Кофе Bushido Red Katana в зернах, 1кг",1 999,2 569,BUSHIDO,https://online.metro-cc.ru/products/bushido-red-1000g
 494570,"Кофе Egoiste трюфель крема в зернах, 1кг",1 699,2 199,JARDIN,https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-tryufel-krema-1kg
 72873,"Кофе Fresco Blend в зернах, 1кг",1 090,1 309,EGOISTE,https://online.metro-cc.ru/products/fresco-blend-1000g
 104561,"Кофе Fresco Arabica Solo в зернах, 1кг",1 090,1 309,FRESCO,https://online.metro-cc.ru/products/fresco-arabica-solo-v-zernah-1000-g
 226934,"Кофе Lavazza Qualita Oro натуральный жареный в зернах, 1кг",,2 539,ITALCO,https://online.metro-cc.ru/products/v-zernah-lavazza-naturalnyj-zharenyj-qualita-oro-1kg
