id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 609222,Кофе Carte Noire Original в зернах 800 г,,2 199,RIOBA,https://online.metro-cc.ru/products/carte-noire-v-zernah-naturalnyj-zharenyj-800g
 74090,"Кофе Nescafe Gold Barista растворимый сублимированный с добавлением натурального молотого кофе, 400г",999,1 699,JACOBS,https://online.metro-cc.ru/products/art_619918
 635596,"Кофе Jacobs Monarch растворимый (1.8г х 26шт), 47г",,499,JARDIN,https://online.metro-cc.ru/products/jacobs-monarch-26x18g
 580564,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г",1 379,2 279,EGOISTE,https://online.metro-cc.ru/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g
 666412,"Кофе Julius Meinl Espresso Gran Aroma в зернах, 1кг",,1 949,CARTE NOIRE,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-gran-aroma-zerno
 224737,"Кофе Coferium Gold selection в зернах, 1кг",,1 599,MONARCH,https://online.metro-cc.ru/products/1kg-kofe-coferium-gold-selection-v-zernah
 228292,"Кофе Coferium White roast в зернах, 1кг",,1 599,EGOISTE,https://online.metro-cc.ru/products/1kg-kofe-coferium-white-roast-v-zernah
 102232,"Кофе Julius Meinl Cafe Crema Gourmet в зернах, 1кг",,1 949,AMBASSADOR,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno
 636528,"Кофе Julius Meinl Espresso Deluxe в зернах, 1кг",,2 499,EGOISTE,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-deluxe-zerno
 104610,"Кофе Coferium Strong в зернах, 1кг",,1 199,JULIUS MEINL,https://online.metro-cc.ru/products/1kg-kofe-coferium-strong-v-zernah
 36574,"Кофе Bushido Original растворимый, 100г",659,679,BUSHIDO,https://online.metro-cc.ru/products/bushido-sublimirovannyj-original-100g
 44941,"Кофе Ambassador Nero Espresso Roast в зернах, 1кг",739,789,DALLMAYR,https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg
 119138,"Кофе Bushido Red Katana в зернах, 1кг",1 699,2 139,JARDIN,https://online.metro-cc.ru/products/bushido-red-1000g
 219193,"Кофе Fresco Blend в зернах, 1кг",1 090,1 269,COFERIUM,https://online.metro-cc.ru/products/fresco-blend-1000g
 530968,"RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг",,1 679,RIOBA,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg
 528357,"Кофе Monarch Original растворимый, 500г",1 049,1 549,EGOISTE,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-500g
 427833,"Кофе Egoiste трюфель крема в зернах, 1кг",1 549,1 639,LAVAZZA,https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-tryufel-krema-1kg
 44332,"Кофе Ambassador Platinum в зернах, 1кг",1 119,1 489,EGOISTE,https://online.metro-cc.ru/products/ambassador-naturalnyj-zharenyj-platinum-1kg
